case_name,model_name,collision,collocation,nh,Time,nb_iter,calc_time
S-turn,dynamic,2012,RadauIIA-2,101,2.8364022094379306,190,8.5
S-turn,dynamic,2017,RadauIIA-2,101,2.8364971658748814,69,1.9089999198913574
S-turn,dynamic,2017 penetration,RadauIIA-2,101,2.836407095038231,236,6.261000156402588
S-turn,dynamic,2023,RadauIIA-2,101,5.835710067143184,313,10.15499997138977
parking,cinematic,2012,implicit_Euler,51,3.9921813550592997,1000,36.293999910354614
parking,cinematic,2017,implicit_Euler,51,3.9949084552585656,290,8.049000024795532
parking,cinematic,2017 penetration,implicit_Euler,51,2.7926950898164153,166,1.808000087738037
parking,cinematic,2023,implicit_Euler,51,3.9958124475234307,153,2.930999994277954
parking,dynamic,2012,implicit_Euler,51,1.0817181815502812,203,9.962000131607056
parking,dynamic,2017,implicit_Euler,51,3.9967899315429034,1000,13.516999959945679
parking,dynamic,2017 penetration,implicit_Euler,51,2.917404387991195,273,3.0340001583099365
parking,dynamic,2023,implicit_Euler,51,3.9999859996976697,357,9.571000099182129
parking,cinematic,2012,Runge_Kutta,51,4.0026648859581755,1000,37.17799997329712
parking,cinematic,2017,Runge_Kutta,51,3.99029381350358,162,25.941999912261963
parking,cinematic,2017 penetration,Runge_Kutta,51,4.000000039818103,122,2.197000026702881
parking,cinematic,2023,Runge_Kutta,51,3.9998828544601053,360,23.257999897003174
parking,dynamic,2012,Runge_Kutta,51,1.0868414072844395,732,26.473000049591064
parking,dynamic,2017,Runge_Kutta,51,3.995821479392157,1000,26.730000019073486
parking,dynamic,2017 penetration,Runge_Kutta,51,1.0868420086561836,295,8.003000020980835
parking,dynamic,2023,Runge_Kutta,51,3.9999977786836087,259,10.622999906539917
parking,cinematic,2012,Crank_Nicolson,51,3.987798892916877,1000,40.96799993515015
parking,cinematic,2017,Crank_Nicolson,51,3.988926972636205,123,10.583000183105469
parking,cinematic,2017 penetration,Crank_Nicolson,51,2.792695088963573,171,2.93999981880188
parking,cinematic,2023,Crank_Nicolson,51,3.9999963606341105,201,6.417999982833862
parking,dynamic,2012,Crank_Nicolson,51,3.9954034054205145,1000,28.874000072479248
parking,dynamic,2017,Crank_Nicolson,51,3.9915213269723586,1000,16.639999866485596
parking,dynamic,2017 penetration,Crank_Nicolson,51,2.557184910309917,337,4.614000082015991
parking,dynamic,2023,Crank_Nicolson,51,3.999982100269073,291,7.743000030517578
parking,cinematic,2012,RadauIIA-2,51,4.5414257621423495,1000,30.437000036239624
parking,cinematic,2017,RadauIIA-2,51,3.989350221489152,170,4.681999921798706
parking,cinematic,2017 penetration,RadauIIA-2,51,4.0000000398257605,166,3.062999963760376
parking,cinematic,2023,RadauIIA-2,51,3.9953194972646675,233,4.801000118255615
parking,dynamic,2012,RadauIIA-2,51,1.084875905788303,336,7.239999771118164
parking,dynamic,2017,RadauIIA-2,51,3.9985972622672366,1000,37.0
parking,dynamic,2017 penetration,RadauIIA-2,51,1.0848783453070763,295,6.565000057220459
parking,dynamic,2023,RadauIIA-2,51,3.999993508458924,249,8.206000089645386
parking,cinematic,2012,implicit_Euler,101,4.004816193251957,1000,41.75
parking,cinematic,2017,implicit_Euler,101,3.9918815100205927,156,7.692000150680542
parking,cinematic,2017 penetration,implicit_Euler,101,1.3495643386258964,304,5.978000164031982
parking,cinematic,2023,implicit_Euler,101,3.997589311015267,294,14.029000043869019
